-831;-550;211;19;0;0;0
-848;-553;201;17;0;0;0
-864;-555;190;15;0;0;0
-879;-557;178;13;0;0;0
-893;-559;165;10;0;0;0
-906;-560;151;7;0;0;0
-918;-560;137;5;0;0;0
-929;-560;123;3;0;0;0
-939;-559;109;1;0;0;0
-948;-557;95;-1;0;0;0
-955;-555;81;-3;0;0;0
-961;-553;67;-5;0;0;0
-966;-550;53;-6;0;0;0
-970;-546;39;-6;0;0;0
-973;-542;26;-6;0;0;0
-975;-538;14;-6;0;0;0
-976;-534;2;-6;0;0;0
-976;-530;-9;-6;0;0;0
-975;-525;-19;-6;0;0;0
-973;-519;-28;-6;0;0;0
-971;-513;-36;-6;0;0;0
-968;-507;-43;-6;0;0;0
-964;-501;-49;-5;0;0;0
-959;-495;-55;-3;0;0;0
-953;-488;-60;-2;0;0;0
-946;-480;-64;-2;0;0;0
-938;-472;-67;-2;0;0;0
-930;-464;-69;-1;0;0;0
-921;-456;-71;0;0;0;0
-911;-448;-72;0;0;0;0
-901;-440;-72;0;0;0;0
-890;-432;-72;0;0;0;0
-878;-424;-71;0;0;0;0
-866;-416;-69;0;0;0;0
-853;-408;-67;0;0;0;0
-839;-400;-65;0;0;0;0
-825;-392;-62;0;0;0;0
-810;-384;-58;0;0;0;0
-794;-375;-54;0;0;0;0
-778;-365;-50;0;0;0;0
-762;-355;-46;0;0;0;0
-745;-345;-42;0;0;0;0
-727;-336;-38;0;0;0;0
-709;-327;-34;0;0;0;0
-691;-318;-30;0;0;0;0
-673;-309;-26;0;0;0;0
-655;-300;-22;0;0;0;0
-636;-292;-18;0;0;0;0
-616;-284;-14;0;0;0;0
-596;-276;-10;0;0;0;0
-576;-268;-6;0;0;0;0
-556;-260;-2;0;0;0;0
-536;-252;2;0;0;0;0
-516;-244;5;0;0;0;0
-496;-236;7;0;0;0;0
-476;-228;9;0;0;0;0
-456;-220;11;0;0;0;0
-435;-212;13;0;0;0;0
-413;-204;15;0;0;0;0
-391;-196;17;0;0;0;0
-369;-188;19;0;0;0;0
-348;-180;20;0;0;0;0
-328;-172;20;0;0;0;0
-308;-164;20;0;0;0;0
-288;-156;20;0;0;0;0
-268;-148;20;0;0;0;0
-248;-140;20;0;0;0;0
-228;-132;20;0;0;0;0
-208;-124;20;0;0;0;0
-188;-116;20;0;0;0;0
-168;-108;20;0;0;0;0
-148;-101;20;0;0;0;0
-128;-95;20;0;0;0;0
-108;-89;19;0;0;0;0
-88;-83;17;0;0;0;0
-69;-77;15;0;0;0;0
-51;-71;13;0;0;0;0
-33;-65;11;0;0;0;0
-15;-59;9;0;0;0;0
3;-53;7;0;0;0;0
21;-47;6;0;0;0;0
39;-41;6;0;0;0;0
56;-35;5;0;0;0;0
72;-29;4;0;0;0;0
88;-24;4;0;0;0;0
104;-20;3;0;0;0;0
120;-16;2;0;0;0;0
135;-12;2;0;0;0;0
149;-8;2;0;0;0;0
163;-4;2;0;0;0;0
177;0;2;0;0;0;0
191;4;2;0;0;0;0
204;8;2;0;0;0;0
216;12;1;0;0;0;0
228;16;0;0;0;0;0
240;20;0;0;0;0;0
252;24;0;0;0;0;0
263;28;0;0;0;0;0
273;31;0;0;0;0;0
283;33;0;0;0;0;0
293;35;0;0;0;0;0
302;37;0;0;0;0;0
310;39;0;0;0;0;0
318;41;0;0;0;0;0
326;43;0;0;0;0;0
333;45;0;0;0;0;0
339;47;0;0;0;0;0
345;49;0;0;0;0;0
351;51;0;0;0;0;0
357;53;0;0;0;0;0
362;55;0;0;0;0;0
366;57;0;0;0;0;0
370;59;0;0;0;0;0
374;61;0;0;0;0;0
378;62;0;0;0;0;0
381;62;0;0;0;0;0
383;62;0;0;0;0;0
385;62;0;0;0;0;0
387;62;0;0;0;0;0
388;62;0;0;0;0;0
